u,i
786,2778
2687,2620
2291,2620
990,299
753,386
1200,1829
3662,18
5002,2267
4677,2507
5637,563
291,2018
2507,932
3336,2477
5902,1800
5640,1800
5244,1800
1044,535
1550,141
268,2034
617,2188
1494,771
3827,1024
327,2614
1743,1475
1397,838
2589,2435
3995,608
5151,296
4163,2636
5915,692
835,546
2418,2553
2566,2451
2752,1675
4968,589
3357,1260
2655,1742
2297,2034
2951,572
590,2435
2961,1260
5717,2370
1641,417
1883,2394
1947,1655
1902,192
5489,2920
4627,1235
5303,286
2020,413
2844,1614
700,1260
36,2034
1180,2651
1536,1532
2978,1614
3778,2421
4797,1646
5437,286
5438,1642
4247,1179
1341,1064
2232,1235
3758,2708
1241,1614
5224,932
4205,953
5394,589
1295,130
4832,1051
4500,312
1365,2589
969,2589
1764,608
2963,932
2278,829
1023,2825
259,1675
992,1260
364,1691
990,433
3301,927
4827,1646
1086,141
4565,1646
5076,2350
2132,1943
5251,3105
366,983
5681,1935
3334,286
3573,1800
5025,1072
1809,2421
5369,882
3223,455
4417,435
1191,1096
795,1096
3097,2036
3493,2036
2412,1179
3582,3017
3874,1642
4155,435
4501,1072
2527,1691
3296,933
3430,933
3029,589
4333,2427
2688,296
5009,1478
5057,2458
2192,2344
4140,2786
4859,1719
5121,1719
192,1742
266,1691
1299,2477
3603,1800
3207,1800
5881,2346
215,413
2047,2370
4619,3171
3387,455
4531,1072
4340,1504
4185,435
257,824
959,1096
1339,563
3624,2088
4705,2191
1528,1024
4625,2427
3455,589
3534,882
1999,609
2121,1538
3193,589
4363,2427
4101,2427
2852,296
1613,3017
4755,1719
4627,1719
5422,2182
1475,3083
719,296
951,3083
4860,200
932,589
3630,2283
2972,2283
3705,1114
23,1532
1496,927
3266,286
1980,717
4370,1504
2820,199
1765,563
3747,2279
2995,200
1663,2730
3480,1935
3115,1056
1372,1800
5785,140
2910,2344
1401,286
5513,2458
67,1989
1655,2088
2644,882
5299,1186
4308,1565
3709,2926
4046,1565
231,1831
444,2878
3338,1478
621,296
664,932
1223,2616
3403,2627
2336,1668
2680,1478
4446,2438
5387,252
2282,2371
2898,1179
3214,3105
3348,3105
1006,1800
359,1989
1035,286
2986,2689
3418,2346
5025,2495
4030,2910
375,1179
4076,1565
4150,1514
261,1831
5813,252
2972,1478
4161,1114
1306,1688
1707,2786
2500,1668
1841,2786
2519,1910
2658,3008
1452,1513
4821,2850
3640,3105
5431,1089
3932,473
3278,1935
4106,2346
5845,140
4515,299
2825,3121
2417,852
309,717
3072,2998
4810,1910
405,1179
546,2350
5059,2614
3346,3008
1749,1103
3533,1114
283,435
4044,1064
3844,252
4499,1644
457,1719
5426,2034
5025,1690
4679,299
5028,1207
442,2350
3369,144
4112,417
4508,417
2419,524
22,2730
3805,2926
59,1831
1351,2346
1695,2910
630,2586
921,1072
1074,1314
678,1314
1306,883
1366,1688
1433,2910
2041,1103
2068,2926
2456,3008
5679,386
2506,2371
1525,1186
3249,200
2767,2146
4388,473
1707,2920
4909,1865
4632,833
4019,2296
3642,2346
1135,1940
5665,1619
1596,837
4939,761
1886,1350
726,200
915,3105
4040,140
3778,140
612,852
3172,330
2282,761
4159,771
5477,2507
2870,1685
5511,2091
5679,1675
1689,1186
1293,1186
629,1960
4989,474
2124,1114
255,1719
725,1668
2270,2629
482,1910
2903,852
4262,2589
4534,833
5085,936
4155,248
1335,2351
4568,417
5186,1742
2957,2778
5121,1532
3887,433
2139,833
3312,2188
3942,140
1366,883
4859,1532
2696,1690
2300,1690
2703,417
2307,417
5301,187
5691,1096
5769,2507
2050,761
4268,1064
4643,187
5245,2507
3996,376
2079,1
1809,140
4188,546
4954,79
2357,3163
5918,1260
70,1565
1699,3163
4779,2707
4185,248
4032,972
2192,63
506,2095
4755,1532
2112,299
4244,2548
3982,2548
969,2536
558,1504
3586,2548
4627,1532
2259,2978
5323,1235
2790,2614
4614,546
5842,1800
1284,2547
921,2495
2767,2630
4252,1096
5425,2451
5442,2620
4456,2589
2615,546
3196,1989
2788,474
334,2146
2230,1644
5924,1051
2595,833
2538,299
3018,936
79,873
2857,1742
2506,761
4459,1547
3158,2636
3667,793
4197,1547
5869,2283
1120,1742
762,2034
1158,2034
1741,140
4100,1614
5617,527
2687,18
894,1207
233,1690
5543,2298
3624,1096
718,981
5651,1831
1540,1547
1473,325
4269,1800
12,1
4931,953
4993,1831
1987,546
5389,1831
5468,2878
3308,2553
2556,474
2487,2589
4247,1260
3545,1742
3665,2036
2590,1024
2101,833
3357,1691
4281,455
2531,417
1569,972
1149,386
3914,296
5698,307
2279,2825
5899,2283
364,833
656,453
4216,3078
441,299
5835,2298
1022,1742
1299,330
4802,2421
275,761
3869,2216
2033,2769
4485,1024
5839,2417
104,879
42,1
4037,1800
3333,1455
1655,1096
2224,1024
2747,3051
3387,1691
4278,1862
2521,2708
3944,296
3548,296
2526,608
3195,932
4436,758
320,130
2278,1260
1882,1260
4119,1051
4515,1051
2718,1532
980,2620
75,299
545,248
918,1742
209,299
992,1691
1314,1742
2234,2651
5094,2421
1518,983
5390,1251
439,761
131,608
3959,2267
5449,1831
198,140
4002,1405
5187,1831
1517,758
457,1532
3468,717
4192,748
5307,435
334,2630
4472,3017
5441,435
1239,2507
3388,199
4613,2498
3859,2036
2068,1800
3401,2878
4774,1103
1503,2553
5615,1719
3712,296
501,1989
3316,296
847,936
993,2451
2046,1260
2784,435
3887,1051
2180,1260
1579,2548
2451,2477
3929,2216
1756,932
4082,2458
5720,200
374,1655
4228,2283
181,1260
463,192
5740,852
289,793
1409,824
3236,717
3372,2298
5817,1072
2064,2216
161,1547
462,721
3466,1179
2098,1800
4543,574
2956,1831
1189,1989
3766,882
485,1644
4960,862
3425,589
5801,1478
2544,574
2461,2791
1413,2636
5884,200
2083,2616
359,192
1687,2616
75,433
4595,1114
255,1532
1007,413
5601,1797
