u,i
2272,2378
1176,489
1952,710
1900,520
2702,1962
1094,2342
1767,930
3639,34
4475,306
4881,1748
1894,705
3071,1270
428,37
5906,1919
923,16
1370,705
2201,633
3075,1389
3357,321
5248,229
2008,992
2049,993
542,324
146,324
2880,921
2445,993
2379,2625
202,633
4340,1020
1720,710
352,1331
2000,2979
1604,2979
4777,994
5173,994
3407,34
4620,1010
4711,2626
5177,1867
3367,1389
4492,1010
2737,993
156,638
5016,229
3046,1748
1817,993
4228,2657
5033,1364
4632,1020
874,100
1844,2816
4637,1364
4728,728
5452,759
5700,861
1207,2003
3017,229
3413,229
5589,2750
649,921
2175,1640
3699,34
4669,2750
333,2378
1200,1963
5341,1867
2670,2750
2942,994
2546,994
5562,523
5330,954
1978,1476
3752,45
2876,2626
2480,2626
2403,716
2814,1748
3600,2657
3342,1867
4806,1708
4400,1020
1879,716
4491,384
84,1270
5616,759
3522,522
4652,1241
5032,708
3181,229
2785,229
5860,1119
1997,2657
419,1748
3492,1811
5357,2750
5393,2407
5789,2407
4307,1206
5797,16
1877,1020
4554,1837
4552,1010
5827,2110
5861,940
314,1173
5854,523
1468,34
5513,230
186,1173
2142,1476
4131,1919
2553,1010
3506,1867
3110,1867
426,633
4569,1364
1582,321
1186,321
5097,1483
3514,230
5623,775
2703,954
208,2625
581,921
2265,728
3385,759
484,988
88,988
2817,1241
2421,1241
4322,1837
1132,1963
2730,2750
1269,2426
1098,100
5769,950
5774,1294
4019,523
937,2626
3552,1811
5792,1119
1685,45
2471,954
2867,954
747,1748
4367,1206
4763,1206
5396,1119
5325,2407
2338,1364
1937,1020
1942,1364
2866,1483
3549,759
4882,1837
1114,229
718,229
3397,1119
5921,940
1029,1811
3326,2407
3976,45
3760,2110
1167,994
1977,45
2763,954
3159,954
4934,2377
1567,1867
2716,384
647,1867
3030,1483
1447,230
4470,930
222,2657
5244,324
5301,858
5655,2110
5555,1906
3626,16
503,1364
107,1364
354,1241
4086,940
3528,2110
935,994
539,994
4820,935
4424,935
2927,954
5606,1844
256,1837
254,1010
3945,708
2489,728
2088,384
3322,1483
4357,2342
4238,930
404,1708
5323,1906
89,384
1042,1241
4774,940
1026,708
4156,2059
1086,759
1862,980
2258,980
3409,324
3820,2110
4479,992
1330,1119
2913,3126
3854,940
3976,2623
5614,1331
827,2750
4812,643
3910,2003
5431,2378
942,1010
420,1837
1103,1867
5062,37
3713,708
3090,1483
3871,1294
4626,638
4805,2855
3375,1844
4402,930
5615,1906
2867,2377
2471,2377
3063,37
3459,37
2464,1206
5360,633
253,384
1091,1483
1471,950
1476,1294
34,1020
810,1241
3984,2110
2781,324
5515,921
465,1206
69,1206
4582,716
1559,16
4986,1331
631,2407
4580,643
5750,37
710,1010
3707,489
4827,520
2019,940
188,1837
2987,1331
4969,2855
2763,2377
860,954
464,954
2756,1206
3143,1844
3539,1844
2164,1294
3919,2065
2239,2377
491,2777
5474,1270
5508,100
859,1483
2318,980
2791,638
5372,993
5768,993
1786,1119
4310,940
757,1206
5681,1748
240,2377
3129,633
1511,2577
480,1837
1003,858
4927,2979
4531,2979
3151,1331
4985,705
1843,2003
2927,2377
2968,2378
3307,1844
3388,520
3794,1962
5635,1753
1932,1294
5800,100
2582,2342
2186,2342
2463,930
1007,950
5575,921
5038,716
1345,945
3293,633
5478,988
4535,2347
1491,16
5944,229
899,858
2542,2162
2146,2162
2079,940
1683,940
3075,2625
5102,1640
5816,229
714,324
2909,643
2007,2003
1616,2347
947,2777
3132,2378
4247,2065
3156,520
1700,1294
5934,1389
4499,34
1133,2378
1563,1962
97,1294
1783,16
3061,633
5790,1640
232,930
2868,992
2909,993
3367,2625
1006,324
1625,2059
2581,935
3424,2378
473,992
1932,489
4291,1963
311,2162
244,940
4824,2426
2580,710
1212,1331
3015,638
2619,638
4300,2426
582,935
5571,2626
282,643
5905,1748
2522,705
1452,37
901,2378
1056,37
1620,2065
925,520
4970,716
3597,993
5558,1640
5876,229
0,930
3073,993
3104,306
5898,1708
887,1167
3559,1640
637,992
1074,993
1700,489
2096,489
79,2162
12,940
1509,921
3152,2979
612,2625
3405,1173
3216,520
1376,1331
5529,2750
469,2347
73,2347
1193,2378
446,643
1217,520
757,2979
4673,321
807,2342
297,520
3365,993
3396,306
5794,954
3392,2816
3674,1748
3278,1748
439,2855
1468,1270
1122,633
1502,100
4864,1020
3575,988
5512,1241
371,2162
4041,229
4082,230
1673,921
4756,2426
4725,861
740,716
5412,1010
589,520
3822,2750
179,2342
3560,306
3570,994
4776,45
2606,1476
4380,45
3160,2816
4595,1919
1286,633
2046,321
1571,994
2381,45
3563,954
1839,1748
1868,988
3430,1364
3034,1364
4889,861
4641,759
5021,980
1344,988
948,988
3677,1241
3651,20
5578,1837
572,1640
5548,3126
689,2979
942,1173
2492,34
2932,306
5726,954
5881,2777
1958,100
3181,1010
4420,2453
5411,384
3738,1867
5008,2623
5283,384
4142,230
1797,2626
5630,2377
3331,954
1325,2816
1273,2626
5227,1206
3888,1811
3599,1708
607,321
3284,384
5185,980
4789,980
1919,522
1260,1640
3049,1241
4653,1119
5742,1837
5840,3126
3754,2750
3790,2407
4026,994
710,1173
2656,34
1446,1241
3347,1837
3345,1010
1165,1753
1755,2750
2027,994
294,2426
1631,994
1696,1389
2092,1389
657,34
261,34
2441,45
2837,45
1107,994
4306,230
4647,523
2427,1867
5398,2377
123,100
2528,1919
4995,1206
5794,2377
3180,384
4305,759
3890,1483
2656,384
5330,930
4025,1119
3392,1206
2306,759
962,1020
1738,1241
3350,980
3637,1010
4819,1919
4912,2110
5013,2162
3511,1837
3115,1837
4946,940
5464,2623
1795,994
2209,45
1385,2816
3391,954
5380,643
5562,2377
3814,2777
1799,1867
1510,1010
1114,1010
4805,708
3344,384
4182,1483
4708,775
3658,1483
230,2949
3556,1206
3160,1206
1126,1020
730,1020
2282,708
2722,980
4269,324
3873,324
5076,2110
3377,3126
4836,2623
717,34
2769,45
5726,2377
1280,1837
1963,1867
5922,37
153,1389
5786,930
3950,1483
5390,930
5882,638
770,45
1952,954
3848,1206
4481,1119
4319,37
1423,1364
1032,1708
3324,1206
1514,728
2634,759
717,384
3410,980
4561,324
1670,1241
2050,708
2482,1119
2878,1119
4784,2059
5006,940
5402,940
3641,324
5469,2162
2411,2407
4878,940
1325,1206
239,759
5440,643
2752,1919
4567,489
4963,489
5687,520
2879,940
5623,2979
2605,2623
2872,523
4060,2378
538,45
1720,954
5175,2065
4710,16
3691,37
3966,1962
2500,1294
2099,950
745,523
8,230
5770,2625
651,861
1093,1206
783,980
499,1221
3238,2162
1736,1837
2775,940
3171,940
3642,2777
2217,2110
1706,3126
5787,2979
5391,2979
5339,2065
1643,2777
4248,520
4874,16
2792,1294
1119,2777
3442,2342
4154,858
3758,858
1392,2377
1385,1206
5502,716
2601,945
3814,1167
3757,633
5309,321
551,980
1759,858
2098,324
2494,324
