u,i
1928,2568
1532,2568
4082,604
832,679
3118,1086
3949,1014
4288,480
2990,1840
3988,942
2799,3026
1610,946
1214,946
154,966
591,967
3891,1009
4287,1009
1893,480
2411,2163
3820,2297
991,1840
4630,1348
2820,870
5805,1086
201,31
242,32
638,32
25,2249
1257,2521
3411,557
1575,1110
541,99
145,99
5687,276
1038,905
642,905
2882,967
5621,1908
3806,1086
108,971
3618,1035
3222,1035
1381,1244
985,1244
3282,1840
3678,1840
4241,1014
4580,480
5113,943
4995,2385
883,967
3180,1563
3622,1908
1161,2409
1283,1840
930,32
2996,2385
3335,1851
1437,1526
3392,2385
69,1393
3731,1851
4551,1590
1182,253
5325,984
645,48
3611,968
4832,1051
4660,1533
3514,1035
2793,521
2397,521
3326,984
1829,1003
1433,1003
368,679
2756,1393
1711,193
2661,1533
2731,3026
398,521
4880,718
5434,2058
757,1393
1486,1014
4843,1590
5239,1590
2317,942
1921,942
732,3026
1824,1009
5520,1051
1753,2297
1357,2297
4306,604
2563,1348
2938,471
660,679
5178,533
5045,943
5076,256
2557,1533
3620,276
5086,944
4169,1272
5482,944
153,2568
3554,1908
3179,533
1343,1086
2174,1014
2117,480
1721,480
3046,943
1215,1840
819,1840
1621,276
3087,944
3324,2385
1113,1563
1555,1908
4672,2243
1325,2385
4102,400
1636,557
5378,944
5774,944
2919,1518
3912,276
3724,225
1148,968
3450,1908
5281,1011
3596,979
1447,1035
1051,1035
330,521
5457,2176
5061,2176
5770,421
5868,956
1847,1908
5360,2243
1201,979
2971,2058
2380,1590
5484,966
3211,1518
3550,984
685,870
4582,2326
4016,225
3057,1051
3833,518
285,1128
2900,313
2239,604
5262,2058
5355,2249
5795,2521
2715,533
3009,256
490,1533
2613,256
1157,276
5474,2880
1706,1272
3659,2058
3263,2058
1112,533
979,943
146,942
4320,986
5536,725
49,1009
4125,518
4562,519
577,1128
3192,313
3541,467
5864,32
3007,533
4399,2218
4003,2218
3373,1822
3301,256
5711,2419
1845,276
1449,276
1998,1272
4336,1869
1261,225
1779,1908
1404,533
1008,533
4482,940
5302,679
1312,944
3390,2176
4429,1279
1153,2385
3703,421
5828,725
3293,2243
995,2176
4691,2218
1308,421
709,1590
4785,1099
4389,1099
5287,2249
748,1518
1949,225
1553,225
5696,956
990,1051
1370,518
2922,960
422,1533
2672,31
3288,2249
3684,2249
3995,421
4442,1110
5708,966
5312,966
546,256
3407,2880
3011,2880
1592,2058
4248,1244
4494,519
5796,32
3709,966
2649,986
2253,986
2807,2326
2411,2326
1967,400
5699,99
5303,99
2058,518
1662,518
5800,905
1521,313
1125,313
1474,467
1870,467
3797,32
4700,1526
1336,533
940,533
1320,0
1716,0
1936,2218
3304,99
4734,1110
5130,1110
1244,944
838,256
848,944
3644,2419
3699,2880
4079,2347
4475,2347
4757,1279
4879,710
5264,521
2941,986
2758,1279
927,2176
531,2176
958,1489
1863,400
2259,400
2362,1279
3761,725
4320,2409
4409,946
830,2243
434,2243
1766,467
2162,467
5407,48
4992,1526
4814,2163
260,400
2228,2218
2624,2218
5619,870
1598,1822
2322,1099
3936,2419
70,276
4715,2157
3629,956
816,1032
1251,960
4623,2568
4988,1003
3131,679
323,1099
1128,2058
825,2249
1221,2249
2057,2521
3050,1279
1532,421
1630,956
4701,946
2624,2568
3641,966
4305,946
5380,480
4710,2163
4082,1840
5080,942
5476,942
5911,870
2306,946
3512,2249
186,986
2426,1048
3632,99
4912,2297
4129,905
3733,905
5722,1348
1730,32
1334,32
1513,2249
1867,2747
401,2079
