user_id,time_step,item,sim_score
0,0,310,0.5289480090141296
0,0,3049,0.501281201839447
0,0,2239,0.32813993096351624
0,0,116,0.38051697611808777
0,0,497,0.17338645458221436
0,0,2490,0.5318202376365662
0,0,2695,0.40038439631462097
0,0,1412,0.44284138083457947
0,0,715,0.6860032081604004
0,0,2091,0.6755580902099609
1,0,1278,0.7674078941345215
1,0,1312,0.8206747770309448
1,0,953,0.816804051399231
1,0,849,0.7200376391410828
1,0,328,0.5857473015785217
1,0,1116,0.8237662315368652
1,0,479,0.6423321962356567
1,0,714,0.7548778057098389
1,0,3164,0.29683730006217957
1,0,2479,0.7717805504798889
2,0,1555,0.3418346643447876
2,0,383,0.7337712645530701
2,0,1667,0.7190992832183838
2,0,2954,0.517840564250946
2,0,1997,0.25708290934562683
2,0,2945,0.3637215197086334
2,0,1644,0.6689431071281433
2,0,2838,0.3245408535003662
2,0,2906,0.4843640625476837
2,0,554,0.3732483386993408
3,0,1688,0.24270981550216675
3,0,2094,0.6509236097335815
3,0,2242,0.5524222254753113
3,0,3119,0.45711588859558105
3,0,2982,0.6913160085678101
3,0,2939,0.38987186551094055
3,0,2810,0.6178876161575317
3,0,2451,0.6685240268707275
3,0,104,0.6162097454071045
3,0,3126,0.4821728765964508
4,0,3009,0.5531313419342041
4,0,1165,0.38226884603500366
4,0,1539,0.3814694881439209
4,0,113,0.4509279429912567
4,0,893,0.4028911590576172
4,0,1408,0.4304550886154175
4,0,2083,0.8272911310195923
4,0,818,0.538390040397644
4,0,226,0.6376864314079285
4,0,1914,0.20024192333221436
5,0,1994,0.5788009762763977
5,0,921,0.6640870571136475
5,0,1478,0.5772048830986023
5,0,911,0.2621106803417206
5,0,151,0.35492759943008423
5,0,2362,0.5803568363189697
5,0,2796,0.5603459477424622
5,0,1960,0.5130693912506104
5,0,999,0.24872171878814697
5,0,1969,0.47382476925849915
6,0,2257,0.40039098262786865
6,0,2374,0.3739434778690338
6,0,200,0.5560801029205322
6,0,1972,0.5569621324539185
6,0,60,0.4639895260334015
6,0,756,0.540062427520752
6,0,1811,0.3917030096054077
6,0,131,0.4237186312675476
6,0,196,0.7097635269165039
6,0,151,0.5577133297920227
7,0,3027,0.643450140953064
7,0,1065,0.3204606771469116
7,0,456,0.8168314099311829
7,0,1383,0.8370358347892761
7,0,2828,0.5261459350585938
7,0,728,0.5272451639175415
7,0,2238,0.1719077229499817
7,0,851,0.5209160447120667
7,0,1730,0.7096051573753357
7,0,950,0.5927140712738037
8,0,946,0.7190912961959839
8,0,2485,0.4767172932624817
8,0,631,0.9105716347694397
8,0,1853,0.710250735282898
8,0,1307,0.5711863040924072
8,0,1936,0.5237029790878296
8,0,1401,0.7818846702575684
8,0,2960,0.5325291752815247
8,0,805,0.6673561334609985
8,0,1912,0.24222266674041748
9,0,2593,0.6630129218101501
9,0,1725,0.4537166655063629
9,0,1004,0.4637577533721924
9,0,2460,0.40550142526626587
9,0,452,0.37145566940307617
9,0,1615,0.6806850433349609
9,0,1344,0.38801759481430054
9,0,2829,0.6138054132461548
9,0,2449,0.3948383331298828
9,0,106,0.4679688811302185
10,0,2929,0.5305076241493225
10,0,2171,0.7655191421508789
10,0,1306,0.6877912878990173
10,0,882,0.6296305656433105
10,0,2297,0.29805293679237366
10,0,1467,0.7471229434013367
10,0,3076,0.5300300121307373
10,0,1592,0.712449312210083
10,0,1169,0.34552788734436035
10,0,1402,0.674021303653717
11,0,2860,0.6465163230895996
11,0,1735,0.38089144229888916
11,0,3176,0.5702939033508301
11,0,810,0.5099871158599854
11,0,1950,0.5372819900512695
11,0,1290,0.7089254856109619
11,0,658,0.2854856550693512
11,0,1803,0.7431804537773132
11,0,985,0.4344170391559601
11,0,2017,0.2837764322757721
12,0,44,0.5536580681800842
12,0,1129,0.5809273719787598
12,0,319,0.7670888900756836
12,0,2985,0.7453293800354004
12,0,1943,0.651883602142334
12,0,1994,0.7090935707092285
12,0,1100,0.8203483819961548
12,0,2383,0.7695804834365845
12,0,2589,0.5778546929359436
12,0,1181,0.3978436291217804
13,0,1883,0.4320409297943115
13,0,1380,0.423077255487442
13,0,2241,0.346945583820343
13,0,2392,0.5777870416641235
13,0,1308,0.40137413144111633
13,0,820,0.4162796139717102
13,0,2911,0.4093806743621826
13,0,2146,0.4151521921157837
13,0,2843,0.44707226753234863
13,0,440,0.3091861307621002
14,0,1173,0.7603254318237305
14,0,1741,0.5709762573242188
14,0,1442,0.5005174279212952
14,0,2154,0.8107321262359619
14,0,1417,0.6519230604171753
14,0,2366,0.3719514310359955
14,0,1883,0.5669094920158386
14,0,2242,0.246318519115448
14,0,3021,0.206203430891037
14,0,225,0.6931095123291016
15,0,1261,0.7151467800140381
15,0,840,0.4891931414604187
15,0,1386,0.4638385772705078
15,0,2421,0.4941663444042206
15,0,2789,0.5781089067459106
