u,i
0,822
0,815
2,2195
3,1110
8,2385
8,2065
8,2521
8,1590
10,110
22,2729
22,1774
22,2249
23,2182
23,2568
25,748
25,1753
25,2365
25,1757
25,1028
25,1013
26,1582
34,1119
40,2088
40,2975
42,2728
43,721
44,532
46,1119
46,943
46,2521
52,2240
52,1528
54,1421
56,898
56,861
56,905
56,878
56,986
62,1250
64,777
70,1147
70,571
70,101
72,572
72,2313
78,3017
91,1889
92,20
93,2002
93,519
94,2454
94,1503
94,771
94,2087
103,743
103,450
103,751
104,2923
104,2696
107,493
110,2865
112,3020
112,2847
115,334
118,1889
119,1590
119,681
119,2412
119,944
119,968
128,937
131,1244
136,2596
142,2522
144,122
144,1270
144,1128
145,1403
157,390
157,1039
157,875
157,902
157,2350
157,266
157,1582
157,1520
167,139
169,1753
169,2191
172,2721
172,1887
172,872
172,1786
172,2839
175,2518
175,2694
175,2564
175,2293
175,2690
177,434
178,441
180,321
186,2563
188,138
188,892
188,2515
188,413
188,1364
188,1119
188,2507
194,572
200,1250
200,2269
200,645
200,820
204,960
204,952
204,100
205,1250
208,1276
210,160
210,1390
210,1403
215,2802
218,2195
218,1933
218,490
221,2243
221,895
222,2385
222,2490
223,2698
223,3123
226,3061
227,2240
230,1017
231,2002
231,956
231,2521
231,971
231,679
231,225
232,138
234,1582
234,1908
234,1728
234,1217
237,565
238,413
238,1624
238,49
238,37
244,881
244,943
255,42
255,485
256,469
256,1364
256,1421
256,2515
257,1614
257,1675
257,1255
258,49
258,438
258,935
258,1908
258,921
258,413
258,1217
260,1026
266,572
269,2297
272,1292
275,1528
292,944
294,2146
296,1869
296,2880
296,2521
296,313
297,2163
297,413
297,193
297,1837
297,482
297,95
300,1547
302,2454
302,3017
302,771
302,2500
302,2191
303,943
304,469
304,31
304,521
304,2326
304,1331
304,15
304,48
311,1595
312,2694
312,2564
312,759
312,1525
312,1771
314,2747
321,2614
321,1659
321,2778
321,1730
321,2249
321,1639
321,1512
321,1640
323,681
331,1455
333,2639
333,1329
333,1250
333,1918
337,1103
338,2639
344,1007
344,1563
344,1003
344,100
345,516
345,334
361,1016
362,450
362,229
363,546
365,2557
365,2880
366,413
366,1429
366,565
366,602
366,20
367,160
367,130
368,1250
368,1128
369,947
381,110
383,2666
391,1217
391,1872
391,1157
392,1563
392,943
397,413
398,122
401,648
401,138
401,2703
401,1527
404,2797
404,1298
404,546
404,1071
404,1324
408,1015
408,2204
408,1037
408,2199
408,2641
408,1522
413,1250
413,2627
419,1110
420,1821
420,1041
420,2494
420,1118
420,2775
426,31
426,3020
426,1675
430,2445
431,1568
433,637
436,1244
436,2029
436,1221
436,1100
436,1574
437,943
443,2145
445,1016
445,759
446,2192
446,1503
446,2696
448,2240
448,943
448,225
448,2563
448,2256
450,972
451,940
451,225
451,726
451,2521
452,892
452,193
452,2385
457,1976
457,324
457,2110
458,1013
458,2495
467,2977
470,1914
470,2195
470,1103
472,2473
474,856
481,2419
481,2471
481,2079
490,942
