1,1193,5,978300760
1,3408,4,978300275
1,2355,5,978824291
1,1287,5,978302039
1,2804,5,978300719
1,594,4,978302268
1,919,4,978301368
1,595,5,978824268
1,938,4,978301752
1,2398,4,978302281
1,2918,4,978302124
1,1035,5,978301753
1,2791,4,978302188
1,2018,4,978301777
1,3105,5,978301713
1,2797,4,978302039
1,1270,5,978300055
1,527,5,978824195
1,1097,4,978301953
1,1721,4,978300055
1,1545,4,978824139
1,2294,4,978824291
1,3186,4,978300019
1,1566,4,978824330
1,588,4,978824268
1,1907,4,978824330
1,783,4,978824291
1,1836,5,978300172
1,1022,5,978300055
1,2762,4,978302091
1,150,5,978301777
1,1,5,978824268
1,1961,5,978301590
1,1962,4,978301753
1,2692,4,978301570
1,260,4,978300760
1,1028,5,978301777
1,1029,5,978302205
1,1207,4,978300719
1,2028,5,978301619
1,531,4,978302149
1,3114,4,978302174
1,608,4,978301398
1,1246,4,978302091
2,1357,5,978298709
2,3068,4,978299000
2,1537,4,978299620
2,2194,4,978299297
2,648,4,978299913
2,2268,5,978299297
2,3468,5,978298542
2,1210,4,978298151
2,3578,5,978298958
2,3030,4,978298434
2,3105,4,978298673
2,3035,4,978298625
2,1610,5,978299809
2,2236,5,978299220
2,3071,4,978299120
2,368,4,978300002
2,1259,5,978298841
2,3147,5,978298652
2,1293,5,978298261
2,1188,4,978299620
2,3255,4,978299321
2,110,5,978298625
2,1834,4,978298813
2,3471,5,978298814
2,589,4,978299773
2,1945,5,978298458
2,982,4,978299269
2,1873,4,978298542
2,2858,4,978298434
2,1225,5,978298391
2,2028,4,978299773
2,515,5,978298542
2,265,4,978299026
2,480,5,978299809
2,1442,4,978299297
2,2067,5,978298625
2,1370,5,978299889
2,1193,5,978298413
2,2353,4,978299861
2,3334,4,978298958
2,590,5,978299083
2,1196,5,978298730
2,736,4,978300100
2,1198,4,978298124
2,593,5,978298517
2,2571,4,978299773
2,2396,4,978299641
2,1953,4,978298775
2,1954,5,978298841
2,1955,4,978299200
2,1124,5,978299418
2,1957,5,978298750
2,163,4,978299809
2,380,5,978299809
2,2501,5,978298600
2,349,4,978299839
2,457,4,978299773
2,1096,4,978299386
2,920,5,978298775
2,1527,4,978299839
2,3418,4,978299809
2,3451,4,978298924
2,3095,4,978298517
2,2002,5,978300100
2,1962,5,978298813
2,1784,5,978298841
2,2943,4,978298372
2,318,5,978298413
2,1207,4,978298478
2,356,5,978299686
2,1246,5,978299418
2,1247,5,978298652
3,3421,4,978298147
3,1394,4,978298147
3,104,4,978298486
3,2735,4,978297867
3,1210,4,978297600
3,1079,5,978298296
3,1615,5,978297710
3,1291,4,978297600
3,1259,5,978298296
3,653,4,978297757
3,2167,5,978297600
3,260,5,978297512
3,2858,4,978297039
3,1049,4,978297805
3,552,4,978297837
3,480,4,978297690
3,1266,5,978297396
3,733,5,978297757
3,1196,4,978297539
3,590,4,978297439
3,2355,5,978298430
3,1197,5,978297570
3,1198,5,978297570
3,1378,5,978297419
3,1379,4,978297419
3,3552,5,978298459
3,1304,5,978298166
3,2470,4,978297777
3,3168,4,978297570
3,1961,4,978297095
3,3671,5,978297419
3,2006,4,978297757
3,2871,4,978297539
3,2115,4,978297777
3,1968,4,978297068
3,1136,5,978298079
4,3468,5,978294008
4,2951,4,978294282
4,1214,4,978294260
4,1036,4,978294282
4,260,5,978294199
4,2028,5,978294230
4,480,4,978294008
4,1198,5,978294199
4,1097,4,978293964
4,3418,4,978294260
4,3702,4,978294260
4,2366,4,978294230
4,1387,5,978294199
4,1201,5,978294230
4,2692,5,978294230
4,2947,5,978294230
4,1240,5,978294260
5,2987,4,978243170
5,2333,4,978242607
5,1175,5,978244759
5,2337,5,978243121
5,1535,4,978245513
5,1392,4,978245645
5,866,4,978245334
5,2770,4,978241981
5,1759,4,978245513
5,506,4,978245999
5,1250,5,978241112
5,509,4,978245829
5,41,4,978244692
5,1610,4,978245645
5,2997,5,978241556
5,2700,4,978243085
5,296,4,978244177
5,728,4,978244759
5,2560,4,978242977
5,2858,4,978241390
5,1046,5,978244114
5,515,4,978245891
5,50,5,978244205
5,1192,5,978244493
5,377,4,978245999
5,3083,5,978244114
5,2427,5,978246450
5,2355,5,978241981
5,593,4,978244177
5,2571,5,978244493
5,2289,4,978244568
5,162,4,978244624
5,3016,4,978242016
5,3163,5,978244852
5,2291,5,978244808
5,1635,4,978245314
5,2723,4,978242788
5,1921,4,978246162
5,2580,4,978242607
5,896,4,978244493
5,176,4,978244568
5,608,4,978244177
5,1715,4,978245891
5,1649,4,978244667
5,1213,5,978244177
5,2599,5,978242323
5,2959,4,978242541
5,908,4,978241072
5,1580,4,978245999
5,1729,4,978245763
5,2890,4,978245445
5,551,4,978246504
5,1513,4,978242977
5,2318,4,978242640
5,1517,4,978245568
5,1089,5,978244205
5,3260,4,978245065
